id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	10	40	9	1	40	30	10
8	0	117	167	168	1	0	51	50	50
6	0	87	178	190	12	0	103	91	91
7	0	111	264	297	33	0	186	153	153
12	0	237	319	332	13	0	95	82	82
23	0	490	584	650	66	0	160	94	94
30	0	629	671	673	2	0	44	42	42
15	0	348	559	697	29	2	349	318	211
28	0	595	707	761	19	2	166	145	112
26	0	587	721	773	17	1	186	168	134
14	0	267	307	846	20	1	579	558	40
13	0	264	342	943	59	5	679	615	78
24	0	527	900	958	23	1	431	407	373
18	0	393	497	1015	61	3	622	558	104
2	0	42	52	1044	48	1	1002	953	10
4	0	61	91	1056	131	5	995	859	30
27	0	589	1114	1237	35	6	648	607	525
10	0	194	1066	1350	38	3	1156	1115	872
29	0	616	660	1362	52	6	746	688	44
11	0	206	1085	1414	73	8	1208	1127	879
5	0	82	231	1429	39	5	1347	1303	149
9	0	124	1439	1451	12	0	1327	1315	1315
20	0	398	1461	1534	29	2	1136	1105	1063
3	0	56	357	1634	114	3	1578	1461	301
21	0	402	1484	1682	60	6	1280	1214	1082
25	0	531	783	1756	34	2	1225	1189	252
19	0	394	1692	1833	47	2	1439	1390	1298
22	0	455	1856	1884	28	0	1429	1401	1401
17	0	354	1905	1939	34	0	1585	1551	1551
16	0	349	1644	1963	72	5	1614	1537	1295
0	0	0	0	1963	-17	0	1963	1980	0
