id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	10	63	10	3	63	50	10
3	0	91	140	191	51	0	100	49	49
2	0	88	98	244	53	4	156	99	10
8	0	154	254	331	35	1	177	141	100
12	0	339	373	424	51	0	85	34	34
4	0	107	201	435	46	4	328	278	94
16	0	389	445	456	11	0	67	56	56
13	0	352	481	496	15	0	144	129	129
7	0	151	466	507	6	1	356	349	315
25	0	712	852	874	22	0	162	140	140
28	0	744	884	923	4	1	179	174	140
26	0	733	798	948	16	1	215	198	65
22	0	621	897	960	17	1	339	321	276
6	0	143	212	1052	32	3	909	874	69
19	0	517	1100	1163	30	1	646	615	583
27	0	742	1227	1254	27	0	512	485	485
10	0	309	1073	1266	39	7	957	911	764
29	0	749	1390	1408	18	0	659	641	641
21	0	575	970	1449	40	4	874	830	395
17	0	392	1459	1468	9	0	1076	1067	1067
9	0	268	1291	1488	40	5	1220	1175	1023
14	0	366	1498	1565	26	1	1199	1172	1132
5	0	134	517	1612	91	8	1478	1379	383
30	0	763	1519	1625	30	5	862	827	756
11	0	314	543	1647	108	5	1333	1220	229
24	0	705	1657	1725	25	1	1020	994	952
23	0	662	705	1742	114	4	1080	962	43
15	0	373	1752	1839	32	3	1466	1431	1379
18	0	443	1864	1965	68	1	1522	1453	1421
20	0	537	579	1979	95	9	1442	1338	42
0	0	0	0	1979	8	0	1979	1971	0
