id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	5	36	67	31	0	62	31	31
8	0	99	168	296	84	1	197	112	69
3	0	41	77	603	94	2	562	466	36
28	0	497	649	708	26	2	211	183	152
14	0	239	318	816	46	1	577	530	79
20	0	379	826	830	4	0	451	447	447
18	0	327	778	940	28	1	613	584	451
1	0	0	10	979	31	2	979	946	10
22	0	396	613	993	25	4	597	568	217
29	0	503	854	1133	40	1	630	589	351
11	0	139	232	1173	19	1	1034	1014	93
24	0	437	545	1190	19	1	753	733	108
4	0	67	567	1207	20	2	1140	1118	500
12	0	158	730	1224	21	1	1066	1044	572
19	0	356	1003	1286	19	2	930	909	647
25	0	440	626	1388	75	6	948	867	186
5	0	69	1018	1401	47	3	1332	1282	949
13	0	187	1430	1550	53	4	1363	1306	1243
30	0	510	1251	1678	52	10	1168	1106	741
27	0	491	840	1691	42	5	1200	1153	349
6	0	82	1701	1713	12	0	1631	1619	1619
16	0	275	754	1768	37	1	1493	1455	479
9	0	127	1723	1781	15	1	1654	1638	1596
23	0	426	1070	1862	45	7	1436	1384	644
10	0	136	210	1913	91	4	1777	1682	74
21	0	384	1044	1925	49	8	1541	1484	660
17	0	315	473	2053	102	1	1738	1635	158
7	0	98	1962	2106	37	2	2008	1969	1864
15	0	266	421	2217	106	9	1951	1836	155
26	0	467	1411	2239	99	8	1772	1665	944
0	0	0	0	2239	-20	0	2239	2259	0
