id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
13	0	200	478	481	3	0	281	278	278
24	0	343	713	714	1	0	371	370	370
15	0	214	540	887	7	2	673	664	326
20	0	287	649	1003	16	2	716	698	362
10	0	125	418	1130	8	1	1005	996	293
1	0	0	10	1169	111	5	1169	1053	10
2	0	42	60	1182	26	2	1140	1112	18
16	0	236	554	1221	17	2	985	966	318
6	0	95	293	1382	80	2	1287	1205	198
8	0	110	391	1408	14	2	1298	1282	281
11	0	134	429	1433	13	2	1299	1284	295
4	0	53	182	1469	36	9	1416	1371	129
22	0	311	685	1589	20	3	1278	1255	374
14	0	213	526	1688	27	1	1475	1447	313
18	0	277	599	1715	23	3	1438	1412	322
5	0	79	279	1894	22	2	1815	1791	200
21	0	288	673	1921	20	2	1633	1611	385
17	0	238	577	2395	64	12	2157	2081	339
23	0	332	699	2874	89	11	2542	2442	367
3	0	50	74	2939	151	11	2889	2727	24
7	0	103	377	3229	90	15	3126	3021	274
25	0	346	724	3525	93	15	3179	3071	378
9	0	116	405	3537	170	24	3421	3227	289
12	0	153	443	3648	124	30	3495	3341	290
19	0	284	638	3774	147	35	3490	3308	354
0	0	0	0	3774	-18	0	3774	3792	0
