id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
14	0	171	566	578	12	0	407	395	395
11	0	151	508	940	5	1	789	783	357
3	0	72	337	1176	15	2	1104	1087	265
6	0	91	393	1225	49	2	1134	1083	302
7	0	108	424	1236	6	1	1128	1121	316
1	0	0	10	1579	112	3	1579	1464	10
23	0	260	702	1789	18	4	1529	1507	442
9	0	138	467	2179	18	2	2041	2021	329
13	0	165	543	2230	52	2	2065	2011	378
17	0	192	622	2303	35	9	2111	2067	430
21	0	235	676	2361	48	6	2126	2072	441
15	0	172	588	2703	25	5	2531	2501	416
22	0	250	688	2796	63	6	2546	2477	438
2	0	6	24	2990	233	14	2984	2737	18
5	0	85	382	3015	57	8	2930	2865	297
4	0	75	349	3484	109	10	3409	3290	274
10	0	148	494	3506	56	6	3358	3296	346
20	0	218	662	3590	59	8	3372	3305	444
24	0	263	713	3638	84	12	3375	3279	450
12	0	163	521	3664	70	9	3501	3422	358
19	0	209	648	3714	91	14	3505	3400	439
25	0	267	736	3725	74	9	3458	3375	469
18	0	200	634	3772	59	16	3572	3497	434
8	0	117	435	3831	100	17	3714	3597	318
16	0	175	600	3844	111	19	3669	3539	425
0	0	0	0	3844	-17	0	3844	3861	0
