id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	16	24	31	7	0	15	8	8
1	0	0	1	109	66	6	109	37	1
4	0	80	91	195	33	2	115	80	11
11	0	130	242	245	3	0	115	112	112
6	0	103	145	305	12	2	202	188	42
18	0	205	411	422	11	0	217	206	206
12	0	131	246	541	17	1	410	392	115
5	0	90	110	544	26	3	454	425	20
22	0	264	545	547	2	0	283	281	281
27	0	290	598	599	1	0	309	308	308
3	0	33	79	616	73	5	583	505	46
33	0	337	660	672	12	0	335	323	323
34	0	340	676	688	12	0	348	336	336
15	0	177	336	742	47	3	565	515	159
39	0	382	753	756	3	0	374	371	371
7	0	104	157	764	39	2	660	619	53
41	0	390	765	771	6	0	381	375	375
21	0	235	474	983	39	3	748	706	239
24	0	269	562	1000	24	2	731	705	293
29	0	310	617	1028	10	1	718	707	307
13	0	161	306	1059	57	2	898	839	145
38	0	378	743	1276	31	1	898	866	365
43	0	397	785	1354	36	2	957	919	388
47	0	422	877	1433	19	1	1011	991	455
48	0	439	888	1462	12	1	1023	1010	449
20	0	229	468	1520	14	2	1291	1275	239
23	0	268	548	1546	36	2	1278	1240	280
25	0	274	584	1548	10	2	1274	1262	310
31	0	329	644	1611	46	3	1282	1233	315
44	0	402	816	1722	28	3	1320	1289	414
10	0	124	223	1872	65	6	1748	1677	99
26	0	277	589	1892	53	5	1615	1557	312
16	0	180	387	2027	92	6	1847	1749	207
46	0	413	874	2070	76	6	1657	1575	461
19	0	219	429	2255	47	7	2036	1982	210
50	0	453	950	2260	78	5	1807	1724	497
32	0	330	653	2309	51	9	1979	1919	323
37	0	359	724	2337	106	7	1978	1865	365
9	0	118	213	2451	97	9	2333	2227	95
28	0	296	600	2461	48	11	2165	2106	304
30	0	324	636	2480	120	8	2156	2028	312
36	0	354	696	2508	78	6	2154	2070	342
42	0	396	772	2555	63	9	2159	2087	376
35	0	350	689	2638	72	12	2288	2204	339
17	0	197	395	2661	114	10	2464	2340	198
40	0	387	757	2699	130	10	2312	2172	370
45	0	410	823	2870	111	16	2460	2333	413
14	0	166	322	2915	146	24	2749	2579	156
8	0	116	196	2926	276	23	2810	2511	80
49	0	445	897	2948	171	24	2503	2308	452
0	0	0	0	2948	0	0	2948	2948	0
