id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	10	63	10	3	63	50	10
3	0	91	101	102	1	0	11	10	10
7	0	151	186	264	6	1	113	106	35
8	0	154	212	282	5	1	128	122	58
12	0	339	427	428	1	0	89	88	88
6	0	143	164	486	12	3	343	328	21
17	0	392	547	556	9	0	164	155	155
25	0	712	896	898	2	0	186	184	184
4	0	107	117	1023	6	4	916	906	10
19	0	517	656	1125	10	1	608	597	139
15	0	373	496	1137	22	3	764	739	123
24	0	705	862	1149	15	1	444	428	157
16	0	389	527	1164	1	0	775	774	138
26	0	733	926	1203	6	1	470	463	193
27	0	742	937	1219	7	0	477	470	195
9	0	268	324	1265	20	5	997	972	56
29	0	749	1006	1282	8	0	533	525	257
10	0	309	349	1350	19	7	1041	1015	40
22	0	621	773	1479	7	1	858	850	152
14	0	366	467	1520	16	1	1154	1137	101
2	0	88	98	1594	13	4	1506	1489	10
30	0	763	1033	1637	20	5	874	849	270
23	0	662	827	1682	24	4	1020	992	165
28	0	744	965	1705	4	1	961	956	221
13	0	352	441	1776	5	0	1424	1419	89
21	0	575	743	1802	20	4	1227	1203	168
5	0	134	153	1823	41	8	1689	1640	19
11	1	314	376	1905	28	5	1591	1558	62
18	1	443	596	1924	48	1	1481	1432	153
20	1	537	715	2016	45	9	1479	1425	178
0	0	0	0	2016	15	0	2016	2001	0
