id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	10	40	9	1	40	30	10
7	0	111	134	137	3	0	26	23	23
6	0	87	117	155	2	0	68	66	30
8	0	117	165	166	1	0	49	48	48
12	0	237	308	311	3	0	74	71	71
10	0	194	247	373	18	3	179	158	53
20	0	398	541	804	19	2	406	385	143
9	0	124	216	829	12	0	705	693	92
15	0	348	423	954	9	2	606	595	75
30	0	629	994	996	2	0	367	365	365
22	0	455	631	1026	18	0	571	553	176
14	0	267	358	1044	10	1	777	766	91
23	0	490	669	1059	6	0	569	563	179
18	0	393	500	1070	11	3	677	663	107
24	0	527	740	1115	13	1	588	574	213
25	0	531	769	1324	24	2	793	767	238
26	0	587	839	1353	7	1	766	758	252
27	0	589	865	1368	15	6	779	758	276
5	0	82	97	1383	19	5	1301	1277	15
28	0	595	900	1397	9	2	802	791	305
4	0	61	86	1474	31	5	1413	1377	25
13	0	264	337	1519	19	5	1255	1231	73
3	0	56	66	1545	24	3	1489	1462	10
29	0	616	926	1609	22	6	993	965	310
19	0	394	523	1656	27	2	1262	1233	129
17	1	354	465	1707	24	0	1353	1329	111
16	1	349	453	1900	52	5	1551	1494	104
2	1	42	52	1951	18	1	1909	1890	10
11	1	206	274	1972	33	8	1766	1725	68
21	1	402	576	2017	40	6	1615	1569	174
0	0	0	0	2017	-13	0	2017	2030	0
