id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
3	14	30	343	364	21	0	334	313	313
1	8	0	10	540	278	9	540	253	10
6	9	58	743	860	46	1	802	755	685
5	4	55	562	949	94	7	894	793	507
7	5	70	959	1065	36	2	995	957	889
9	14	113	1272	1296	24	0	1183	1159	1159
10	6	140	1317	1570	40	2	1430	1388	1177
11	8	142	1354	1594	76	4	1452	1372	1212
2	2	29	104	1936	354	44	1907	1509	75
13	8	178	1651	1959	52	3	1781	1726	1473
12	6	170	1617	2285	164	16	2115	1935	1447
14	3	180	1969	2485	109	17	2305	2179	1789
16	7	196	2453	2519	22	6	2323	2295	2257
15	3	181	2029	2564	121	10	2383	2252	1848
17	4	198	2529	2682	30	3	2484	2451	2331
18	1	199	2587	2974	69	13	2775	2693	2388
19	5	217	2598	2985	92	11	2768	2665	2381
20	3	230	2826	3286	121	15	3056	2920	2596
22	3	248	3022	3539	135	9	3291	3147	2774
21	4	235	3010	3849	153	20	3614	3441	2775
23	5	267	3342	3887	103	14	3620	3503	3075
4	15	40	401	3944	61	1	3904	3842	361
8	16	100	1104	4031	97	5	3931	3829	1004
25	6	279	3909	4111	48	6	3832	3778	3630
24	2	272	3629	4434	115	32	4162	4015	3357
0	0	0	0	4434	3	0	4434	4431	0
