id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	11	42	84	343	196	2	301	103	42
1	6	0	10	378	111	5	378	262	10
4	7	53	403	572	46	9	519	464	350
5	7	79	489	676	62	2	597	533	410
6	5	95	702	817	30	2	722	690	607
3	6	50	388	828	91	11	778	676	338
8	11	110	854	924	34	2	814	778	744
10	7	125	984	1119	48	1	994	945	859
11	11	134	1140	1206	33	2	1072	1037	1006
13	14	200	1265	1288	23	0	1088	1065	1065
7	2	103	761	1378	100	15	1275	1160	658
14	13	213	1322	1418	47	1	1205	1157	1109
15	9	214	1440	1575	37	2	1361	1322	1226
16	5	236	1476	1586	27	2	1350	1321	1240
18	4	277	1729	1960	83	3	1683	1597	1452
17	4	238	1623	2080	84	12	1842	1746	1385
12	2	153	1231	2170	144	30	2017	1843	1078
20	9	287	2122	2193	26	2	1906	1878	1835
21	9	288	2203	2326	50	2	2038	1986	1915
22	5	311	2351	2482	30	3	2171	2138	2040
24	14	343	2544	2565	21	0	2222	2201	2201
23	4	332	2413	2948	129	11	2616	2476	2081
19	3	284	2023	3312	237	35	3028	2756	1739
25	3	346	2678	3433	183	15	3087	2889	2332
9	4	116	949	3564	180	24	3448	3244	833
0	0	0	0	3564	-8	0	3564	3572	0
