id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
6	5	81	130	135	5	0	54	49	49
8	5	87	225	237	12	0	150	138	138
9	5	91	238	256	18	0	165	147	147
12	5	122	312	322	10	0	200	190	190
15	5	159	397	398	1	0	239	238	238
17	5	178	405	418	13	0	240	227	227
19	2	201	451	521	32	2	320	286	250
21	5	215	522	536	14	0	321	307	307
23	4	224	548	600	25	1	376	350	324
26	3	283	605	622	12	1	339	326	322
39	3	433	865	909	4	4	476	468	432
40	4	434	867	915	9	1	481	471	433
46	5	485	973	976	3	0	491	488	488
49	3	525	991	1052	36	3	527	488	466
50	2	526	1016	1075	19	2	549	528	490
36	5	410	786	1122	11	2	712	699	376
45	4	479	955	1162	14	3	683	666	476
48	5	509	981	1174	18	1	665	646	472
3	5	10	19	1218	26	7	1208	1175	9
34	5	367	758	1266	23	5	899	871	391
30	6	311	704	1359	23	2	1048	1023	393
5	8	61	67	1377	30	3	1316	1283	6
43	4	450	940	1386	26	3	936	907	490
20	8	212	456	1408	32	1	1196	1163	244
13	5	132	329	1426	43	5	1294	1246	197
4	4	37	49	1711	71	12	1674	1591	12
18	7	192	426	1745	28	4	1553	1521	234
33	11	366	754	1766	54	6	1400	1340	388
1	8	0	1	1805	66	6	1805	1733	1
11	11	112	305	1915	81	4	1803	1718	193
14	13	142	364	1922	38	3	1780	1739	222
37	13	411	804	1925	90	11	1514	1413	393
44	2	469	951	2068	90	21	1599	1488	482
47	14	508	977	2146	73	14	1638	1551	469
25	12	279	601	2217	86	12	1938	1840	322
24	8	228	554	2275	95	10	2047	1942	326
22	6	219	537	2311	120	14	2092	1958	318
28	7	296	647	2336	50	6	2040	1984	351
42	17	442	916	2379	85	4	1937	1848	474
29	6	309	649	2433	65	9	2124	2050	340
35	17	408	776	2438	63	5	2030	1962	368
16	20	176	399	2485	97	13	2309	2199	223
38	21	419	810	2498	48	3	2079	2028	391
41	11	441	872	2510	64	3	2069	2002	431
10	15	92	257	2586	75	5	2494	2414	165
32	16	355	746	2635	85	7	2280	2188	391
2	11	3	14	2759	193	23	2756	2540	11
31	17	318	716	2794	191	18	2476	2267	398
27	9	295	638	2807	120	13	2512	2379	343
7	42	86	136	2823	103	1	2737	2633	50
0	0	0	0	2823	-1	0	2823	2824	0
