id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	8	0	1	61	46	6	61	9	1
5	5	127	169	184	15	0	57	42	42
6	5	139	185	190	5	0	51	46	46
7	5	154	191	219	28	0	65	37	37
8	5	169	220	221	1	0	52	51	51
9	5	179	222	239	17	0	60	43	43
13	2	246	274	313	24	4	67	39	28
17	4	270	388	471	69	1	201	131	118
23	5	313	543	546	3	0	233	230	230
25	3	364	571	620	5	1	256	250	207
21	3	302	516	627	30	6	325	289	214
27	3	381	628	666	20	4	285	261	247
33	5	424	730	747	17	0	323	306	306
34	5	431	760	769	9	0	338	329	329
42	5	554	919	925	6	0	371	365	365
44	5	572	945	950	5	0	378	373	373
46	5	593	956	961	5	0	368	363	363
45	4	577	951	971	13	2	394	379	374
49	5	639	1021	1027	6	0	388	382	382
28	5	385	631	1029	9	2	644	633	246
36	5	439	778	1055	11	1	616	604	339
48	5	634	1013	1078	13	1	444	430	379
39	2	499	850	1136	29	5	637	603	351
12	6	242	260	1170	33	3	928	892	18
10	7	209	240	1193	42	4	984	938	31
24	4	339	553	1288	19	3	949	927	214
3	5	59	86	1355	39	5	1296	1252	27
16	8	266	373	1368	16	1	1102	1085	107
18	8	275	394	1372	25	3	1097	1069	119
35	9	438	770	1415	32	2	977	943	332
2	10	57	62	1427	43	2	1370	1325	5
32	10	414	727	1429	54	18	1015	943	313
29	9	400	647	1469	53	4	1069	1012	247
20	11	291	504	1497	69	5	1206	1132	213
41	11	531	899	1555	51	5	1024	968	368
50	12	646	1030	1584	29	1	938	908	384
14	3	252	327	1611	48	7	1359	1304	75
22	13	305	522	1743	43	2	1438	1393	217
15	4	254	349	1798	103	17	1544	1424	95
30	4	403	686	1805	78	15	1402	1309	283
40	6	530	892	1884	102	15	1354	1237	362
43	6	557	926	1946	74	10	1389	1305	369
19	5	283	472	1960	85	16	1677	1576	189
26	18	366	573	1981	47	1	1615	1567	207
4	20	97	106	1995	50	4	1898	1844	9
31	10	408	692	2026	76	9	1618	1533	284
11	23	213	247	2051	86	5	1838	1747	34
47	5	618	972	2091	79	6	1473	1388	354
38	10	479	848	2122	104	7	1643	1532	369
37	15	446	785	2158	82	12	1712	1618	339
0	0	0	0	2158	16	0	2158	2142	0
