id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
5	5	36	83	102	19	0	66	47	47
7	5	64	105	133	28	0	69	41	41
6	3	41	103	138	5	1	97	91	62
4	5	33	73	274	18	6	241	217	40
12	5	92	275	288	13	0	196	183	183
14	5	135	296	315	19	0	180	161	161
15	4	140	316	372	8	1	232	223	176
22	4	292	525	553	17	1	261	243	233
26	3	360	610	627	10	1	267	256	250
35	5	494	809	812	3	0	318	315	315
13	5	121	289	895	22	2	774	750	168
42	3	558	914	940	5	1	382	376	356
45	5	584	948	978	30	0	394	364	364
50	2	689	1092	1141	15	5	452	432	403
37	4	508	819	1148	18	2	640	620	311
44	3	571	941	1240	28	5	669	636	370
29	6	396	680	1282	48	3	886	835	284
48	7	683	1070	1320	11	1	637	625	387
49	7	688	1081	1332	21	1	644	622	393
47	7	612	1059	1340	25	2	728	701	447
32	4	446	736	1455	32	6	1009	971	290
25	9	325	600	1547	41	9	1222	1172	275
31	5	445	708	1573	22	4	1128	1102	263
20	10	181	465	1637	54	6	1456	1396	284
23	11	308	554	1687	30	4	1379	1345	246
30	11	422	686	1698	41	2	1276	1233	264
1	9	0	1	1761	54	11	1761	1696	1
39	9	515	849	1834	62	5	1319	1252	334
43	11	562	916	1841	58	6	1279	1215	354
2	12	27	37	1843	40	6	1816	1770	10
27	13	367	612	1898	58	5	1531	1468	245
38	13	513	826	1927	58	6	1414	1350	313
19	9	174	455	1983	123	14	1809	1672	281
3	9	31	63	2145	94	10	2114	2010	32
28	11	380	650	2229	47	5	1849	1797	270
34	16	492	751	2256	74	11	1764	1679	259
36	6	495	813	2270	99	9	1775	1667	318
8	16	65	139	2277	72	13	2212	2127	74
9	9	72	141	2325	89	19	2253	2145	69
33	11	457	749	2334	68	7	1877	1802	292
41	18	534	861	2378	103	5	1844	1736	327
21	10	245	509	2462	95	9	2217	2113	264
40	21	518	857	2490	72	6	1972	1894	339
17	6	161	373	2575	145	15	2414	2254	212
11	13	82	224	2582	87	8	2500	2405	142
16	24	155	320	2584	47	2	2429	2380	165
10	14	79	185	2611	74	7	2532	2451	106
24	11	312	565	2618	86	7	2306	2213	253
46	42	603	979	2640	80	1	2037	1956	376
18	23	171	401	2651	81	3	2480	2396	230
0	0	0	0	2651	1	0	2651	2650	0
