id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	5	37	108	71	0	103	32	32
12	0	198	287	288	1	0	90	89	89
16	0	259	379	420	41	0	161	120	120
1	0	0	10	461	112	4	461	345	10
26	0	425	599	765	46	2	340	292	174
4	0	47	118	811	25	1	764	738	71
23	0	374	834	847	13	0	473	460	460
13	0	222	821	859	5	1	637	631	599
7	0	92	775	895	26	1	803	776	683
9	0	162	943	957	14	0	795	781	781
6	0	77	919	1005	18	3	928	907	842
29	0	479	631	1064	27	3	585	555	152
14	0	246	298	1125	87	3	879	789	52
30	0	510	869	1150	18	1	640	621	359
27	0	428	1099	1161	16	1	733	716	671
15	0	249	1171	1317	23	6	1068	1039	922
25	0	396	544	1371	34	5	975	936	148
20	0	321	482	1385	56	7	1064	1001	161
10	0	182	1395	1457	24	1	1275	1250	1213
21	0	347	1187	1527	35	1	1180	1144	840
19	0	316	471	1546	37	2	1230	1191	155
5	0	56	163	1566	63	1	1510	1446	107
24	0	388	513	1619	86	11	1231	1134	125
17	0	299	1576	1633	14	2	1334	1318	1277
22	0	348	587	1658	17	3	1310	1290	239
18	0	306	980	1742	42	4	1436	1390	674
8	0	116	1693	1754	28	1	1638	1609	1577
3	0	40	905	1790	49	2	1750	1699	865
11	0	186	555	1918	81	4	1732	1647	369
28	0	449	1413	1930	51	9	1481	1421	964
0	0	0	0	1930	-20	0	1930	1950	0
