id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	16	24	31	7	0	15	8	8
1	0	0	1	93	67	6	93	20	1
11	0	130	135	138	3	0	8	5	5
6	0	103	139	165	13	2	62	47	36
12	0	131	150	173	18	1	42	23	19
18	0	205	208	217	9	0	12	3	3
20	0	229	232	267	16	2	38	20	3
22	0	264	268	272	4	0	8	4	4
27	0	290	295	296	1	0	6	5	5
25	0	274	289	323	13	2	49	34	15
29	0	310	324	348	14	1	38	23	14
39	0	382	393	395	2	0	13	11	11
41	0	390	432	441	9	0	51	42	42
48	0	439	487	511	12	1	72	59	48
33	0	337	524	536	12	0	199	187	187
34	0	340	537	548	11	0	208	197	197
28	0	296	349	660	52	11	364	301	53
4	0	80	94	705	30	2	625	593	14
44	0	402	407	743	31	3	341	307	5
47	0	422	429	788	18	1	366	347	7
23	0	268	675	805	35	2	537	500	407
5	0	90	806	867	20	3	777	754	716
7	0	104	824	909	35	2	805	768	720
19	0	219	661	943	46	7	724	671	442
35	0	350	372	1010	72	12	660	576	22
24	0	269	980	1013	24	2	744	718	711
26	0	277	297	1082	56	5	805	744	20
38	0	378	496	1108	32	1	730	697	118
50	0	453	574	1238	74	5	785	706	121
9	0	118	123	1311	94	9	1193	1090	5
36	0	354	1184	1365	76	6	1011	929	830
32	0	330	334	1369	53	9	1039	977	4
15	0	177	1398	1448	42	3	1271	1226	1221
10	0	124	749	1494	63	6	1370	1301	625
21	0	235	1522	1570	39	3	1335	1293	1287
43	0	397	1596	1641	36	2	1244	1206	1199
30	0	324	358	1660	119	8	1336	1209	34
13	0	161	273	1723	57	2	1562	1503	112
31	0	329	381	1730	47	3	1401	1351	52
46	0	413	418	1876	78	6	1463	1379	5
3	0	33	79	1928	67	5	1895	1823	46
42	0	396	402	2132	66	9	1736	1661	6
17	0	197	218	2160	109	10	1963	1844	21
49	0	445	1731	2182	172	24	1737	1541	1286
16	0	180	186	2289	91	6	2109	2012	6
45	0	410	561	2509	114	16	2099	1969	151
14	0	166	174	2660	149	24	2494	2321	8
8	0	116	712	2770	277	23	2654	2354	596
37	0	359	367	2942	105	7	2583	2471	8
40	0	387	396	2947	135	10	2560	2415	9
0	0	0	0	2947	-1	0	2947	2948	0
