id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
8	0	38	52	55	3	0	17	14	14
5	0	20	27	61	15	1	41	25	7
11	0	64	78	134	20	4	70	46	14
13	0	78	84	159	21	8	81	52	6
20	0	172	177	181	4	0	9	5	5
17	0	114	145	190	19	2	76	55	31
30	0	270	274	311	8	2	41	31	4
23	0	222	252	321	20	2	99	77	30
34	0	332	345	354	9	0	22	13	13
28	0	261	367	424	26	3	163	134	106
41	0	415	425	455	18	2	40	20	10
45	0	461	474	478	4	0	17	13	13
40	0	413	461	496	19	4	83	60	48
46	0	470	497	521	11	2	51	38	27
42	0	434	506	523	12	1	89	76	72
27	0	258	276	538	20	1	280	259	18
22	0	219	244	580	37	4	361	320	25
49	0	545	563	583	4	6	38	28	18
26	0	256	332	630	28	5	374	341	76
25	0	244	656	722	28	3	478	447	412
24	0	225	239	757	39	15	532	478	14
50	0	560	637	831	37	4	271	230	77
43	0	446	456	858	37	5	412	370	10
19	0	170	191	894	31	1	724	692	21
1	0	0	1	929	43	5	929	881	1
38	0	387	390	997	76	10	610	524	3
37	0	378	1003	1024	21	0	646	625	625
31	0	284	290	1081	45	2	797	750	6
39	0	390	1084	1151	43	2	761	716	694
48	0	536	539	1159	101	28	623	494	3
7	0	23	1160	1237	45	2	1214	1167	1137
47	0	527	1242	1265	23	0	738	715	715
44	0	457	1183	1299	39	5	842	798	726
16	0	108	115	1378	34	2	1270	1234	7
6	0	22	832	1389	63	8	1367	1296	810
21	0	196	220	1457	93	11	1261	1157	24
32	0	285	1392	1545	67	6	1260	1187	1107
29	0	263	267	1701	90	17	1438	1331	4
15	0	102	112	1786	30	2	1684	1652	10
10	0	57	1568	1849	121	15	1792	1656	1511
18	0	115	205	1888	44	3	1773	1726	90
36	0	376	760	1931	47	1	1555	1507	384
35	0	364	949	1970	82	7	1606	1517	585
12	0	71	1605	1974	111	22	1903	1770	1534
33	0	294	355	2062	67	9	1768	1692	61
9	0	43	2063	2156	45	1	2113	2067	2020
3	0	9	21	2219	140	10	2210	2060	12
4	0	11	2268	2344	60	1	2333	2272	2257
14	0	98	160	2351	83	4	2253	2166	62
2	0	2	5	2462	174	9	2460	2277	3
0	0	0	0	2462	3	0	2462	2459	0
