id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
6	0	81	84	90	6	0	9	3	3
8	0	87	98	108	10	0	21	11	11
3	0	10	14	110	29	7	100	64	4
12	0	122	130	139	9	0	17	8	8
15	0	159	168	169	1	0	10	9	9
17	0	178	212	227	15	0	49	34	34
26	0	283	287	331	12	1	48	35	4
4	0	37	54	370	78	12	333	243	17
30	0	311	343	406	23	2	95	70	32
39	0	433	440	454	5	4	21	12	7
40	0	434	442	467	13	1	33	19	8
36	0	410	455	472	9	2	62	51	45
46	0	485	494	497	3	0	12	9	9
34	0	367	409	506	29	5	139	105	42
45	0	479	507	533	14	3	54	37	28
50	0	526	539	642	18	2	116	96	13
43	0	450	595	651	27	3	201	171	145
48	0	509	551	663	19	1	154	134	42
21	0	215	690	703	13	0	488	475	475
5	0	61	67	746	27	3	685	655	6
20	0	212	676	901	30	1	689	658	464
14	0	142	849	960	36	3	818	779	707
18	0	192	961	1009	24	4	817	789	769
13	0	132	140	1028	46	5	896	845	8
33	0	366	371	1098	56	6	732	670	5
44	0	469	473	1103	86	21	634	527	4
9	0	91	1104	1123	19	0	1032	1013	1013
23	0	224	231	1193	26	1	969	942	7
37	0	411	432	1220	92	11	809	706	21
25	0	279	291	1328	88	12	1049	949	12
19	0	201	209	1376	27	2	1175	1146	8
1	0	0	1	1423	65	6	1423	1352	1
47	0	508	516	1453	77	14	945	854	8
22	0	219	258	1683	120	14	1464	1330	39
35	0	408	476	1717	63	5	1309	1241	68
42	0	442	1473	1764	84	4	1322	1234	1031
24	0	228	1575	1827	92	10	1599	1497	1347
49	0	525	534	1859	36	3	1334	1295	9
41	0	441	1867	1991	66	3	1550	1481	1426
28	0	296	303	2112	48	6	1816	1762	7
29	0	309	1132	2225	66	9	1916	1841	823
16	0	176	202	2257	99	13	2081	1969	26
11	0	112	123	2303	83	4	2191	2104	11
2	0	3	16	2361	187	23	2358	2148	13
38	0	419	423	2412	48	3	1993	1942	4
10	0	92	2362	2498	71	5	2406	2330	2270
32	0	355	374	2504	86	7	2149	2056	19
7	0	86	2609	2739	97	1	2653	2555	2523
27	0	295	310	2808	124	13	2513	2376	15
31	0	318	1770	2824	187	18	2506	2301	1452
0	0	0	0	2824	0	0	2824	2824	0
