id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	15	5	37	108	71	0	103	32	32
1	4	0	10	296	82	4	296	210	10
3	9	40	141	494	169	2	454	283	101
4	9	47	306	507	85	1	460	374	259
5	10	56	517	584	33	1	528	494	461
6	7	77	540	631	18	3	554	533	463
7	10	92	607	690	26	1	598	571	515
9	15	162	700	704	4	0	542	538	538
10	12	182	714	770	24	1	588	563	532
12	15	198	823	824	1	0	626	625	625
13	10	222	834	941	25	1	719	693	612
14	7	246	857	952	17	3	706	686	611
16	15	259	978	979	1	0	720	719	719
15	9	249	868	1020	33	6	771	732	619
17	13	299	989	1068	34	2	769	733	690
19	8	316	1103	1213	37	2	897	858	787
18	12	306	1030	1248	42	4	942	896	724
20	5	321	1114	1315	56	7	994	931	793
21	11	347	1275	1334	25	1	987	961	928
23	15	374	1356	1359	3	0	985	982	982
22	9	348	1344	1415	27	3	1067	1037	996
24	5	388	1369	1621	66	11	1233	1156	981
25	5	396	1437	1638	24	5	1242	1213	1041
26	6	425	1448	1650	46	2	1225	1177	1023
27	11	428	1660	1704	6	1	1276	1269	1232
30	10	510	1748	1867	38	1	1357	1318	1238
29	7	479	1714	1878	27	3	1399	1369	1235
8	15	116	641	1890	28	1	1774	1745	525
11	18	186	732	1928	61	4	1742	1677	546
28	9	449	1675	1940	61	9	1491	1421	1226
0	0	0	0	1940	-10	0	1940	1950	0
