id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	10	34	-1	2	34	33	10
1	0	0	10	186	2	2	186	182	10
2	0	5	15	216	201	0	211	10	10
3	0	41	51	229	4	2	188	182	10
4	0	67	79	257	10	2	190	178	12
20	0	379	477	481	4	0	102	98	98
12	0	158	285	533	11	1	375	363	127
17	0	315	406	587	22	1	272	249	91
14	0	239	337	692	6	1	453	446	98
18	0	327	429	926	8	1	599	590	102
11	0	139	267	1056	9	1	917	907	128
29	0	503	807	1072	10	1	569	558	304
24	0	437	641	1167	9	1	730	720	204
8	0	99	196	1178	4	1	1079	1074	97
10	0	136	239	1228	21	4	1092	1067	103
28	0	497	782	1293	6	2	796	788	285
30	0	510	832	1450	22	10	940	908	322
13	0	187	310	1509	23	4	1322	1295	123
7	0	98	149	1521	27	2	1423	1394	51
16	0	275	379	1631	17	1	1356	1338	104
22	0	396	543	1645	15	4	1249	1230	147
27	0	491	755	1856	22	5	1365	1338	264
23	0	426	611	1881	25	7	1455	1423	185
25	0	440	670	1975	25	6	1535	1504	230
21	0	384	513	2026	29	8	1642	1605	129
19	0	356	461	2043	19	2	1687	1666	105
15	0	266	360	2061	46	9	1795	1740	94
5	1	69	92	2159	17	3	2090	2070	23
26	1	467	725	2241	59	8	1774	1707	258
9	2	127	226	2252	15	1	2125	2109	99
0	0	0	0	2252	-20	0	2252	2272	0
