id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	10	11	1	0	11	10	10
4	0	68	89	284	5	5	216	206	21
12	0	248	323	519	8	1	271	262	75
18	0	358	534	824	6	2	466	458	176
5	0	98	115	836	4	0	738	734	17
27	0	560	871	877	6	0	317	311	311
14	0	264	368	900	1	0	636	635	104
16	0	291	445	1019	9	3	728	716	154
11	0	230	301	1058	8	1	828	819	71
2	0	35	45	1104	15	3	1069	1051	10
23	0	503	716	1116	3	0	613	610	213
3	0	52	62	1218	10	7	1166	1149	10
15	0	266	392	1232	10	1	966	955	126
29	0	609	956	1253	13	1	644	630	347
22	0	502	692	1380	4	0	878	874	190
17	0	339	512	1392	5	3	1053	1045	173
19	0	364	557	1451	7	0	1087	1080	193
7	0	128	183	1490	12	2	1362	1348	55
6	0	113	150	1652	44	7	1539	1488	37
9	0	140	227	1737	18	2	1597	1577	87
26	0	558	846	1780	20	3	1222	1199	288
24	0	506	748	1855	12	6	1349	1331	242
20	0	382	570	1876	6	1	1494	1487	188
28	0	566	910	1890	17	8	1324	1299	344
13	1	250	349	1916	7	0	1666	1659	99
21	1	473	672	2032	33	5	1559	1521	199
10	0	192	260	2127	86	20	1935	1829	68
30	1	682	1041	2247	44	9	1565	1512	359
25	1	524	778	2264	7	0	1740	1733	254
8	2	130	202	2309	31	1	2179	2147	72
0	0	0	0	2309	-3	0	2309	2312	0
