id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
3	0	5	241	279	38	0	274	236	236
5	0	24	321	345	24	0	321	297	297
13	0	106	558	573	15	0	467	452	452
18	0	153	674	688	14	0	535	521	521
1	0	0	10	729	195	1	729	533	10
10	0	79	452	1058	52	1	979	926	373
17	0	147	651	1184	14	1	1037	1022	504
19	0	167	698	1206	20	1	1039	1018	531
20	0	209	739	1221	13	1	1012	998	530
25	0	315	874	1350	22	2	1035	1011	559
7	0	26	367	1421	42	2	1395	1351	341
16	0	144	613	1916	68	6	1772	1698	469
21	0	255	768	1970	88	5	1715	1622	513
2	0	2	202	2274	114	7	2272	2151	200
24	0	291	838	2641	82	7	2350	2261	547
22	0	261	799	2860	94	9	2599	2496	538
15	0	140	600	3052	75	9	2912	2828	460
8	0	32	378	3134	130	13	3102	2959	346
6	0	25	355	3313	117	17	3288	3154	330
11	0	81	487	3361	160	13	3280	3107	406
9	0	66	414	3471	164	14	3405	3227	348
14	0	126	583	3510	163	22	3384	3199	457
4	0	9	289	3532	183	19	3523	3321	280
23	0	284	827	3582	144	15	3298	3139	543
12	0	96	523	3600	149	15	3504	3340	427
0	0	0	0	3600	-10	0	3600	3610	0
