id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
5	0	62	361	375	14	0	313	299	299
6	0	73	399	1021	28	1	948	919	326
2	0	28	63	1239	140	2	1211	1069	35
16	0	233	706	1313	59	1	1080	1020	473
20	0	272	811	1395	14	1	1123	1108	539
12	0	160	564	1702	37	3	1542	1502	404
13	0	170	587	1723	35	2	1553	1516	417
15	0	231	695	1770	4	2	1539	1533	464
22	0	282	872	1905	35	2	1623	1586	590
23	0	283	894	1918	37	5	1635	1593	611
25	0	289	928	1941	43	2	1652	1607	639
14	0	193	620	2120	43	4	1927	1880	427
17	0	236	743	2171	49	5	1935	1881	507
18	0	239	769	2185	31	5	1946	1910	530
4	0	61	227	2257	166	6	2196	2024	166
8	0	91	452	2578	66	10	2487	2411	361
10	0	132	497	2852	137	6	2720	2577	365
11	0	138	532	2866	117	11	2728	2600	394
24	0	285	916	2951	100	12	2666	2554	631
19	0	250	780	3076	162	11	2826	2653	530
21	0	281	834	3087	80	15	2806	2711	553
7	0	89	425	3301	141	16	3212	3055	336
9	0	97	474	3331	167	15	3234	3052	377
3	0	58	196	3347	140	14	3289	3135	138
1	0	0	10	3429	148	29	3429	3252	10
0	0	0	0	3429	-4	0	3429	3433	0
