id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
6	0	81	82	85	3	0	4	1	1
12	0	122	129	154	7	0	32	25	7
15	0	159	166	167	1	0	8	7	7
19	0	201	202	336	25	2	135	108	1
36	0	410	420	439	8	2	29	19	10
39	0	433	442	499	3	4	66	59	9
46	0	485	510	512	2	0	27	25	25
40	0	434	449	553	8	1	119	110	15
45	0	479	489	573	11	3	94	80	10
8	1	87	88	620	9	0	533	524	1
21	1	215	225	687	12	0	472	460	10
26	1	283	296	717	10	1	434	423	13
17	1	178	185	860	9	0	682	673	7
3	1	10	11	905	22	7	895	866	1
30	1	311	337	910	20	2	599	577	26
50	1	526	548	960	16	2	434	416	22
43	2	450	478	1154	24	3	704	677	28
48	2	509	527	1181	17	1	672	654	18
34	2	367	397	1185	20	5	818	793	30
9	3	91	93	1326	18	0	1235	1217	2
5	3	61	62	1349	26	3	1288	1259	1
23	3	224	242	1386	23	1	1162	1138	18
18	3	192	193	1417	22	4	1225	1199	1
13	4	132	137	1518	39	5	1386	1342	5
20	4	212	216	1520	28	1	1308	1279	4
49	4	525	542	1594	33	3	1069	1033	17
14	5	142	151	1884	33	3	1742	1706	9
38	6	419	434	2060	45	3	1641	1593	15
4	6	37	38	2090	62	12	2053	1979	1
28	6	296	310	2127	45	6	1831	1780	14
1	7	0	1	2149	59	6	2149	2084	1
35	7	408	410	2209	57	5	1801	1739	2
33	7	366	392	2230	50	6	1864	1808	26
47	9	508	525	2514	69	14	2006	1923	17
37	9	411	429	2516	81	11	2105	2013	18
41	9	441	462	2525	62	3	2084	2019	21
10	9	92	105	2542	68	5	2450	2377	13
44	9	469	485	2555	81	21	2086	1984	16
25	9	279	289	2557	80	12	2278	2186	10
29	9	309	325	2559	61	9	2250	2180	16
16	11	176	177	2703	90	13	2527	2424	1
32	11	355	380	2726	81	7	2371	2283	25
24	11	228	249	2731	86	10	2503	2407	21
11	12	112	113	2733	76	4	2621	2541	1
42	13	442	470	2808	80	4	2366	2282	28
22	14	219	233	2865	113	14	2646	2519	14
7	15	86	87	2895	94	1	2809	2714	1
27	17	295	305	2948	113	13	2653	2527	10
2	25	3	4	3097	175	23	3094	2896	1
31	28	318	355	3125	181	18	2807	2608	37
0	0	0	0	3125	0	0	3125	3125	0
