id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	1	16	17	30	6	0	14	8	1
11	0	130	144	146	2	0	16	14	14
12	0	131	150	242	16	1	111	94	19
22	0	264	265	285	2	0	21	19	1
27	0	290	295	296	1	0	6	5	5
20	0	229	238	313	11	2	84	71	9
29	0	310	320	373	9	1	63	53	10
39	0	382	409	463	2	0	81	79	27
34	0	340	364	487	11	0	147	136	24
33	0	337	355	534	11	0	197	186	18
18	1	205	220	664	8	0	459	451	15
41	1	390	428	700	6	0	310	304	38
6	1	103	104	771	11	2	668	655	1
48	1	439	482	835	10	1	396	385	43
25	1	274	286	882	9	2	608	597	12
47	2	422	470	970	17	1	548	530	48
23	2	268	270	1106	34	2	838	802	2
38	3	378	398	1256	30	1	878	847	20
4	3	80	81	1295	26	2	1215	1187	1
44	3	402	453	1367	26	3	965	936	51
7	3	104	105	1376	32	2	1272	1238	1
24	3	269	278	1404	22	2	1135	1111	9
5	3	90	91	1424	20	3	1334	1311	1
19	3	219	230	1496	42	7	1277	1228	11
32	3	330	338	1505	46	9	1175	1120	8
28	4	296	303	1585	44	11	1289	1234	7
43	4	397	446	1644	34	2	1247	1211	49
15	5	177	187	1823	40	3	1646	1603	10
31	6	329	333	1946	43	3	1617	1571	4
21	6	235	243	1956	37	3	1721	1681	8
42	7	396	440	2164	57	9	1768	1702	44
13	8	161	167	2219	54	2	2058	2002	6
26	8	277	291	2244	51	5	1967	1911	14
3	8	33	34	2277	60	5	2244	2179	1
35	8	350	370	2286	64	12	1936	1860	20
10	8	124	132	2294	60	6	2170	2104	8
1	8	0	1	2307	64	6	2307	2237	1
9	9	118	125	2381	85	9	2263	2169	7
36	9	354	374	2385	71	6	2031	1954	20
46	10	413	464	2441	73	6	2028	1949	51
50	11	453	504	2576	71	5	2123	2047	51
16	14	180	195	2775	84	6	2595	2505	15
45	14	410	456	2846	105	16	2436	2315	46
17	14	197	212	2864	101	10	2667	2556	15
37	15	359	383	2920	99	7	2561	2455	24
40	18	387	423	3060	127	10	2673	2536	36
30	19	324	330	3064	114	8	2740	2618	6
14	19	166	178	3089	134	24	2923	2765	12
49	24	445	488	3148	163	24	2703	2516	43
8	39	116	117	3288	263	23	3172	2886	1
0	0	0	0	3288	11	0	3288	3277	0
