id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
8	0	38	50	53	3	0	15	12	12
11	0	64	79	184	16	4	120	100	15
20	0	172	197	200	3	0	28	25	25
45	0	461	471	475	4	0	14	10	10
49	0	545	546	558	4	6	13	3	1
34	1	332	357	655	8	0	323	315	25
13	1	78	97	747	17	8	669	644	19
30	1	270	290	762	7	2	492	483	20
46	1	470	494	824	10	2	354	342	24
42	1	434	447	916	11	1	482	470	13
5	1	20	30	962	12	1	942	929	10
27	2	258	264	1037	16	1	779	762	6
40	2	413	428	1079	15	4	666	647	15
23	2	222	232	1125	15	2	903	886	10
25	2	244	250	1140	26	3	896	867	6
41	2	415	435	1148	15	2	733	716	20
22	2	219	223	1155	30	4	936	902	4
17	2	114	133	1253	18	2	1139	1119	19
15	3	102	121	1289	28	2	1187	1157	19
16	3	108	125	1293	28	2	1185	1155	17
37	3	378	388	1303	20	0	925	905	10
47	3	527	528	1324	22	0	797	775	1
1	3	0	1	1404	38	5	1404	1361	1
28	3	261	271	1461	21	3	1200	1176	10
43	3	446	455	1488	33	5	1042	1004	9
26	3	256	259	1501	25	5	1245	1215	3
44	3	457	459	1558	36	5	1101	1060	2
24	3	225	244	1590	33	15	1365	1317	19
19	4	170	185	1610	29	1	1440	1410	15
50	4	560	561	1802	34	4	1242	1204	1
31	6	284	295	1980	41	2	1696	1653	11
7	6	23	41	1985	43	2	1962	1917	18
32	6	285	298	1999	63	6	1714	1645	13
39	6	390	416	2023	41	2	1633	1590	26
6	6	22	39	2084	59	8	2062	1995	17
33	6	294	311	2102	63	9	1808	1736	17
18	7	115	145	2107	42	3	1992	1947	30
36	7	376	381	2165	45	1	1789	1743	5
38	8	387	409	2249	65	10	1862	1787	22
9	8	43	65	2269	45	1	2226	2180	22
29	8	263	283	2309	80	17	2046	1949	20
4	9	11	12	2403	58	1	2392	2333	1
21	9	196	205	2428	83	11	2232	2138	9
48	10	536	537	2444	91	28	1908	1789	1
35	11	364	377	2497	78	7	2133	2048	13
14	11	98	103	2511	79	4	2413	2330	5
12	11	71	85	2535	102	22	2464	2340	14
10	14	57	72	2575	112	15	2518	2391	15
3	20	9	10	2655	129	10	2646	2507	1
2	26	2	3	2714	167	9	2712	2536	1
0	0	0	0	2714	2	0	2714	2712	0
