id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
6	0	139	140	145	5	0	6	1	1
5	1	127	128	148	12	0	21	9	1
8	0	169	170	171	1	0	2	1	1
23	0	313	352	354	2	0	41	39	39
25	0	364	379	389	3	1	25	21	15
28	0	385	396	461	7	2	76	67	11
36	0	439	479	610	9	1	171	161	40
46	0	593	619	623	4	0	30	26	26
42	0	554	571	625	5	0	71	66	17
44	0	572	588	642	4	0	70	66	16
49	0	639	653	658	5	0	19	14	14
48	0	634	643	682	11	1	48	36	9
34	1	431	447	744	8	0	313	305	16
13	1	246	253	759	17	4	513	492	7
21	1	302	334	796	26	6	494	462	32
45	1	577	594	801	13	2	224	209	17
16	1	266	278	883	13	1	617	603	12
24	1	339	367	924	14	3	585	568	28
3	2	59	60	982	32	5	923	886	1
10	2	209	210	1003	36	4	794	754	1
33	2	424	440	1021	15	0	597	582	16
27	2	381	385	1025	17	4	644	623	4
39	2	499	518	1105	26	5	606	575	19
18	2	275	291	1142	20	3	867	844	16
9	3	179	180	1260	17	0	1081	1064	1
35	3	438	471	1271	29	2	833	802	33
14	3	252	261	1335	44	7	1083	1032	9
2	4	57	58	1433	41	2	1376	1333	1
12	4	242	243	1436	28	3	1194	1163	1
50	4	646	665	1496	27	1	850	822	19
7	4	154	155	1547	26	0	1393	1367	1
22	5	305	340	1655	37	2	1350	1311	35
26	6	366	382	1793	41	1	1427	1385	16
1	6	0	1	1800	44	6	1800	1750	1
4	6	97	98	1805	44	4	1708	1660	1
32	6	414	429	1825	52	18	1411	1341	15
41	7	531	549	1944	48	5	1413	1360	18
29	7	400	407	1986	50	4	1586	1532	7
30	8	403	412	2059	70	15	1656	1571	9
20	9	291	314	2089	63	5	1798	1730	23
31	8	408	423	2096	73	9	1688	1606	15
43	9	557	577	2179	70	10	1622	1542	20
17	10	270	284	2195	60	1	1925	1864	14
47	11	618	635	2244	77	6	1626	1543	17
19	11	283	299	2256	76	16	1973	1881	16
11	11	213	214	2267	78	5	2054	1971	1
40	11	530	543	2304	94	15	1774	1665	13
15	12	254	271	2312	93	17	2058	1948	17
37	12	446	486	2333	81	12	1887	1794	40
38	18	479	514	2366	100	7	1887	1780	35
0	0	0	0	2366	7	0	2366	2359	0
