id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
6	0	41	56	69	4	1	28	23	15
15	0	140	162	185	6	1	45	38	22
4	1	33	37	273	14	6	240	220	4
12	1	92	116	292	13	0	200	187	24
26	0	360	361	391	9	1	31	21	1
35	0	494	495	503	2	0	9	7	1
42	0	558	563	594	4	1	36	31	5
48	0	683	684	705	10	1	22	11	1
13	1	121	141	754	16	2	633	615	20
37	1	508	514	818	15	2	310	293	6
44	1	571	576	829	25	5	258	228	5
50	1	689	696	859	13	5	170	152	7
22	1	292	293	909	16	1	617	600	1
31	1	445	446	914	20	4	469	445	1
5	2	36	48	963	16	0	927	911	12
14	2	135	152	984	16	0	849	833	17
49	2	688	689	1167	19	1	479	459	1
32	2	446	447	1209	27	6	763	730	1
47	3	612	627	1338	23	2	726	701	15
23	3	308	309	1366	26	4	1058	1028	1
25	3	325	326	1418	36	9	1093	1048	1
7	3	64	72	1474	26	0	1410	1384	8
45	4	584	601	1566	29	0	982	953	17
2	4	27	28	1678	35	6	1651	1610	1
30	5	422	423	1790	36	2	1368	1330	1
29	6	396	397	2000	43	3	1604	1558	1
1	6	0	1	2155	49	11	2155	2095	1
20	7	181	221	2203	50	6	2022	1966	40
28	7	380	381	2262	44	5	1882	1833	1
16	7	155	172	2329	44	2	2174	2128	17
34	8	492	493	2334	68	11	1842	1763	1
27	8	367	368	2357	53	5	1990	1932	1
38	9	513	516	2501	56	6	1988	1926	3
3	9	31	32	2511	82	10	2480	2388	1
43	9	562	565	2528	54	6	1966	1906	3
33	9	457	458	2532	66	7	2075	2002	1
8	9	65	79	2550	62	13	2485	2410	14
40	9	518	541	2596	68	6	2078	2004	23
10	9	79	103	2619	70	7	2540	2463	24
39	9	515	519	2621	59	5	2106	2042	4
36	10	495	499	2658	94	9	2163	2060	4
18	10	171	192	2692	77	3	2521	2441	21
9	10	72	83	2713	81	19	2641	2541	11
11	11	82	107	2739	81	8	2657	2568	25
21	12	245	246	2776	85	9	2531	2437	1
24	13	312	313	2822	80	7	2510	2423	1
19	14	174	201	2840	115	14	2666	2537	27
46	14	603	612	2853	80	1	2250	2169	9
41	17	534	546	2894	100	5	2360	2255	12
17	21	161	175	2947	137	15	2786	2634	14
0	0	0	0	2947	3	0	2947	2944	0
