id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	10	11	1	0	11	10	10
5	0	98	200	244	44	0	146	102	102
2	0	35	45	313	65	3	278	210	10
13	0	250	672	699	27	0	449	422	422
14	0	264	709	710	1	0	446	445	445
19	0	364	817	844	27	0	480	453	453
8	0	130	408	914	51	1	784	732	278
22	0	502	963	967	4	0	465	461	461
23	0	503	977	990	13	0	487	474	474
4	0	68	104	1001	95	5	933	833	36
25	0	524	1024	1041	17	0	517	500	500
27	0	560	1065	1081	16	0	521	505	505
3	0	52	62	1168	80	7	1116	1029	10
11	0	230	616	1185	28	1	955	926	386
12	0	248	647	1198	18	1	950	931	399
15	0	266	720	1239	20	1	973	952	454
18	0	358	806	1324	16	2	966	948	448
20	0	382	854	1336	6	1	954	947	472
7	0	128	345	1350	72	2	1222	1148	217
9	0	140	448	1371	28	2	1231	1201	308
29	0	609	1132	1512	43	1	903	859	523
16	0	291	732	1556	9	3	1265	1253	441
17	0	339	743	1578	35	3	1239	1201	404
21	0	473	938	1632	53	5	1159	1101	465
6	0	113	323	1794	84	7	1681	1590	210
26	0	558	1051	1833	60	3	1275	1212	493
24	0	506	1011	1910	32	6	1404	1366	505
28	0	566	1091	1987	47	8	1421	1366	525
30	0	682	1208	2032	84	9	1350	1257	526
10	0	192	503	2260	166	20	2068	1882	311
0	0	0	0	2260	8	0	2260	2252	0
