id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	5	36	67	31	0	62	31	31
1	0	0	10	172	111	2	172	59	10
6	0	82	262	304	42	0	222	180	180
3	0	41	182	639	4	2	598	592	141
4	0	67	193	666	40	2	599	557	126
20	0	379	858	872	14	0	493	479	479
8	0	99	364	949	54	1	850	795	265
9	0	127	426	1093	85	1	966	880	299
11	0	139	560	1184	29	1	1045	1015	421
12	0	158	572	1201	31	1	1043	1011	414
14	0	239	676	1242	16	1	1003	986	437
5	0	69	226	1255	47	3	1186	1136	157
16	0	275	728	1308	47	1	1033	985	453
17	0	315	762	1338	32	1	1023	990	447
18	0	327	784	1352	18	1	1025	1006	457
7	0	98	314	1391	67	2	1293	1224	216
24	0	437	959	1476	29	1	1039	1009	522
28	0	497	1057	1566	16	2	1069	1051	560
29	0	503	1103	1582	10	1	1079	1068	600
13	0	187	606	1640	53	4	1453	1396	419
19	0	356	808	1694	39	2	1338	1297	452
10	0	136	498	1914	81	4	1778	1693	362
22	0	396	898	1974	45	4	1578	1529	502
23	0	426	911	1986	65	7	1560	1488	485
27	0	491	1033	2043	52	5	1552	1495	542
30	0	510	1117	2055	42	10	1545	1493	607
21	0	384	882	2083	39	8	1699	1652	498
25	0	440	981	2185	75	6	1745	1664	541
15	0	266	716	2227	56	9	1961	1896	450
26	0	467	1004	2249	99	8	1782	1675	537
0	0	0	0	2249	-10	0	2249	2259	0
