id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
3	0	30	145	316	171	0	286	115	115
16	0	196	348	422	22	6	226	198	152
7	0	70	326	697	26	2	627	599	256
17	0	198	466	903	70	3	705	632	268
6	0	58	974	1024	16	1	966	949	916
10	0	140	1262	1366	40	2	1226	1184	1122
25	0	279	390	2092	88	6	1813	1719	111
22	0	248	950	2307	105	9	2059	1945	702
20	0	230	1119	2341	91	15	2111	2005	889
13	0	178	337	2505	22	3	2327	2302	159
19	0	217	576	2649	72	11	2432	2349	359
11	0	142	1083	2702	76	4	2560	2480	941
18	0	199	379	2745	109	13	2546	2424	180
12	0	170	432	2822	124	16	2652	2512	262
14	0	180	1784	2999	109	17	2819	2693	1604
1	0	0	10	3144	148	9	3144	2987	10
15	0	181	454	3157	81	10	2976	2885	273
23	0	267	1165	3230	103	14	2963	2846	898
9	0	113	3398	3432	34	0	3319	3285	3285
5	0	55	867	3477	74	7	3422	3341	812
24	0	272	1200	3536	255	32	3264	2977	928
4	0	40	3710	3794	51	1	3754	3702	3670
21	0	235	498	4067	173	20	3832	3639	263
8	0	100	926	4110	97	5	4010	3908	826
2	0	29	104	4439	304	44	4410	4062	75
0	0	0	0	4439	8	0	4439	4431	0
