id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
15	0	231	359	521	44	2	290	244	128
22	0	282	443	566	15	2	284	267	161
20	0	272	612	689	24	1	417	392	340
12	0	160	599	723	27	3	563	533	439
23	0	283	465	790	47	5	507	455	182
5	0	62	814	828	14	0	766	752	752
14	0	193	852	1005	43	4	812	765	659
2	0	28	63	1147	140	2	1119	977	35
8	0	91	227	1195	186	10	1104	908	136
4	0	61	800	1294	26	6	1233	1201	739
6	0	73	1220	1316	28	1	1243	1214	1147
24	0	285	487	1772	90	12	1487	1385	202
17	0	236	1337	1913	49	5	1677	1623	1101
25	0	289	733	1988	33	2	1699	1664	444
3	0	58	196	2242	190	14	2184	1980	138
1	0	0	10	2253	148	29	2253	2076	10
16	0	233	1677	2299	39	1	2066	2026	1444
13	0	170	2323	2505	55	2	2335	2278	2153
9	0	97	576	2555	157	15	2458	2286	479
11	0	138	2163	2569	87	11	2431	2333	2025
18	0	239	370	2698	61	5	2459	2393	131
10	0	132	2603	3015	117	6	2883	2760	2471
21	0	281	2720	3226	80	15	2945	2850	2439
19	0	250	401	3253	132	11	3003	2860	151
7	0	89	1624	3438	121	16	3349	3212	1535
0	0	0	0	3438	5	0	3438	3433	0
