id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	30	5	37	108	71	0	103	32	32
1	2	0	10	296	82	4	296	210	10
3	9	40	141	494	169	2	454	283	101
4	10	47	306	507	85	1	460	374	259
5	11	56	517	584	33	1	528	494	461
6	5	77	540	631	18	3	554	533	463
7	11	92	607	690	26	1	598	571	515
8	20	116	641	702	28	1	586	557	525
9	30	162	712	716	4	0	554	550	550
10	14	182	726	782	24	1	600	575	544
12	30	198	835	836	1	0	638	637	637
11	26	186	744	885	61	4	699	634	558
13	11	222	846	897	15	1	675	659	624
14	6	246	907	996	17	3	750	730	661
16	30	259	1006	1017	11	0	758	747	747
15	8	249	918	1028	33	6	779	740	669
17	16	299	1038	1096	24	2	797	771	739
19	7	316	1131	1241	37	2	925	886	815
18	13	306	1058	1276	42	4	970	924	752
20	5	321	1142	1343	56	7	1022	959	821
21	13	347	1303	1362	25	1	1015	989	956
23	30	374	1384	1387	3	0	1013	1010	1010
22	10	348	1372	1443	27	3	1095	1065	1024
24	4	388	1397	1649	66	11	1261	1184	1009
25	4	396	1465	1666	24	5	1270	1241	1069
26	4	425	1476	1678	46	2	1253	1205	1051
27	12	428	1688	1732	6	1	1304	1297	1260
30	11	510	1776	1895	38	1	1385	1346	1266
29	5	479	1742	1906	27	3	1427	1397	1263
28	7	449	1703	1944	61	9	1495	1425	1254
0	0	0	0	1944	-6	0	1944	1950	0
