id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	13	0	10	40	9	1	40	30	10
2	15	42	52	188	48	1	146	97	10
3	11	56	91	482	154	3	426	269	35
5	11	82	330	662	159	5	580	416	248
4	7	61	229	674	121	5	613	487	168
6	30	87	684	686	2	0	599	597	597
7	30	111	696	699	3	0	588	585	585
8	30	117	709	710	1	0	593	592	592
9	30	124	720	732	12	0	608	596	596
10	15	194	742	809	28	3	615	584	548
12	30	237	833	846	13	0	609	596	596
14	10	267	907	980	40	1	713	672	640
11	2	206	761	1001	53	8	795	734	555
15	12	348	1022	1089	29	2	741	710	674
13	6	264	871	1104	39	5	840	796	607
17	30	354	1141	1175	34	0	821	787	787
16	2	349	1114	1367	72	5	1018	941	765
18	8	393	1212	1378	31	3	985	951	819
19	10	394	1296	1451	57	2	1057	998	902
20	18	398	1405	1467	29	2	1069	1038	1007
22	30	455	1501	1529	28	0	1074	1046	1046
23	30	490	1562	1578	16	0	1088	1072	1072
21	12	402	1477	1639	40	6	1237	1191	1075
24	14	527	1610	1691	33	1	1164	1130	1083
25	13	531	1649	1718	34	2	1187	1151	1118
26	12	587	1728	1774	7	1	1187	1179	1141
27	15	589	1743	1824	35	6	1235	1194	1154
28	11	595	1784	1839	19	2	1244	1223	1189
30	30	629	1860	1862	2	0	1233	1231	1231
29	3	616	1849	1957	22	6	1341	1313	1233
0	0	0	0	1957	-23	0	1957	1980	0
