id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
20	0	272	373	576	4	1	304	299	101
22	0	282	425	705	5	2	423	416	143
23	0	283	448	732	7	5	449	437	165
2	1	28	38	1038	10	2	1010	998	10
4	1	61	83	1319	16	6	1258	1236	22
14	1	193	274	1374	13	4	1181	1164	81
5	2	62	99	1402	4	0	1340	1336	37
17	2	236	299	1611	19	5	1375	1351	63
25	2	289	495	1672	13	2	1383	1368	206
18	3	239	327	2172	21	5	1933	1907	88
12	3	160	243	2339	7	3	2179	2169	83
6	4	73	107	2587	8	1	2514	2505	34
16	4	233	293	2614	19	1	2381	2361	60
8	4	91	142	2664	16	10	2573	2547	51
15	5	231	291	2769	4	2	2538	2532	60
13	5	170	249	2922	25	2	2752	2725	79
21	7	281	397	3488	40	15	3207	3152	116
10	7	132	203	3562	47	6	3430	3377	71
11	8	138	231	3662	47	11	3524	3466	93
9	10	97	162	3964	57	15	3867	3795	65
7	9	89	122	4000	71	16	3911	3824	33
3	10	58	71	4053	50	14	3995	3931	13
19	16	250	351	4566	62	11	4316	4243	101
1	17	0	10	4771	58	29	4771	4684	10
24	20	285	472	4836	30	12	4551	4509	187
0	0	0	0	4836	-7	0	4836	4843	0
