id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
3	0	30	50	51	1	0	21	20	20
16	0	196	282	858	2	6	662	654	86
10	1	140	191	1528	10	2	1388	1376	51
25	2	279	529	1877	18	6	1598	1574	250
18	2	199	326	1974	29	13	1775	1733	127
13	2	178	240	2073	12	3	1895	1880	62
17	2	198	303	2099	10	3	1901	1888	105
6	2	58	105	2200	6	1	2142	2135	47
22	3	248	448	2756	35	9	2508	2464	200
20	3	230	372	3034	31	15	2804	2758	142
7	4	70	123	3411	6	2	3341	3333	53
15	4	181	272	3449	31	10	3268	3227	91
19	5	217	348	3498	22	11	3281	3248	131
23	5	267	473	3685	33	14	3418	3371	206
4	5	40	65	3720	21	1	3680	3658	25
9	7	113	177	4191	14	0	4078	4064	64
1	7	0	10	4520	28	9	4520	4483	10
11	7	142	206	4547	26	4	4405	4375	64
12	8	170	227	4611	54	16	4441	4371	57
24	8	272	501	4622	75	32	4350	4243	229
14	9	180	251	4972	49	17	4792	4726	71
0	0	0	0	5006	4985	0	5006	21	0
