id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
13	0	200	248	251	3	0	51	48	48
15	0	214	298	472	7	2	258	249	84
24	0	343	521	522	1	0	179	178	178
20	0	287	392	599	6	2	312	304	105
10	1	125	189	948	8	1	823	814	64
18	2	277	353	1632	13	3	1355	1339	76
16	2	236	321	1875	7	2	1639	1630	85
5	2	79	89	2032	22	2	1953	1929	10
8	3	110	144	2070	14	2	1960	1944	34
2	3	42	52	2083	16	2	2041	2023	10
21	3	288	418	2111	20	2	1823	1801	130
6	3	95	113	2320	10	2	2225	2213	18
22	4	311	441	2533	10	3	2222	2209	130
11	4	134	210	2566	13	2	2432	2417	76
1	4	0	10	2591	21	5	2591	2565	10
14	4	213	294	2647	17	1	2434	2416	81
23	5	332	496	3178	39	11	2846	2796	164
17	6	238	338	3403	24	12	3165	3129	100
7	6	103	126	3440	50	15	3337	3272	23
4	7	53	77	3496	16	9	3443	3418	24
9	10	116	163	3958	80	24	3842	3738	47
12	12	153	223	4369	74	30	4216	4112	70
25	15	346	546	4584	63	15	4238	4160	200
3	17	50	60	4722	51	11	4672	4610	10
19	20	284	370	4885	87	35	4601	4479	86
0	0	0	0	4885	-17	0	4885	4902	0
