id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	5	37	108	71	0	103	32	32
9	0	162	514	548	34	0	386	352	352
12	0	198	627	628	1	0	430	429	429
4	0	47	165	674	65	1	627	561	118
16	0	259	721	722	1	0	463	462	462
5	0	56	227	752	73	1	696	622	171
23	0	374	909	932	23	0	558	535	535
7	0	92	354	1034	76	1	942	865	262
8	0	116	427	1096	88	1	980	891	311
1	0	0	10	1120	32	4	1120	1084	10
10	0	182	577	1166	24	1	984	959	395
13	0	222	638	1208	15	1	986	970	416
17	0	299	762	1263	14	2	964	948	463
21	0	347	848	1376	35	1	1029	993	501
22	0	348	874	1401	27	3	1053	1023	526
6	0	77	290	1412	58	3	1335	1274	213
27	0	428	996	1479	16	1	1051	1034	568
30	0	510	1106	1550	18	1	1040	1021	596
3	0	40	141	1566	49	2	1526	1475	101
14	0	246	684	1600	7	3	1354	1344	438
15	0	249	695	1621	43	6	1372	1323	446
18	0	306	782	1634	42	4	1328	1282	476
19	0	316	806	1653	27	2	1337	1308	490
26	0	425	964	1737	56	2	1312	1254	539
29	0	479	1062	1778	17	3	1299	1279	583
11	0	186	605	1794	51	4	1608	1553	419
25	0	396	953	1862	34	5	1466	1427	557
20	0	321	817	1903	56	7	1582	1519	496
24	0	388	942	1926	46	11	1538	1481	554
28	0	449	1044	1964	51	9	1515	1455	595
0	0	0	0	1964	-6	0	1964	1970	0
