id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
8	0	38	75	78	3	0	40	37	37
5	0	20	33	148	14	1	128	113	13
20	0	172	267	270	3	0	98	95	95
11	0	64	121	488	16	4	424	404	57
17	0	114	188	674	19	2	560	539	74
45	0	461	686	691	5	0	230	225	225
34	0	332	479	726	9	0	394	385	147
13	0	78	142	776	18	8	698	672	64
30	0	270	409	866	7	2	596	587	139
23	0	222	334	966	15	2	744	727	112
1	0	0	1	984	40	5	984	939	1
49	0	545	795	1025	4	6	480	470	250
27	0	258	382	1049	17	1	791	773	124
16	0	108	176	1112	28	2	1004	974	68
42	0	434	642	1114	11	1	680	668	208
46	0	470	698	1155	12	2	685	671	228
37	0	378	542	1230	20	0	852	832	164
40	0	413	600	1281	15	4	868	849	187
41	0	415	612	1284	16	2	869	851	197
15	0	102	167	1286	28	2	1184	1154	65
25	0	244	354	1368	26	3	1124	1095	110
28	0	261	393	1426	21	3	1165	1141	132
19	0	170	261	1435	30	1	1265	1234	91
7	0	23	51	1451	43	2	1428	1383	28
47	0	527	768	1519	24	0	992	968	241
9	0	43	85	1521	45	1	1478	1432	42
26	0	256	376	1547	26	5	1291	1260	120
18	0	115	200	1620	42	3	1505	1460	85
4	0	11	18	1626	58	1	1615	1556	7
22	0	219	322	1628	30	4	1409	1375	103
24	0	225	340	1646	33	15	1421	1373	115
43	0	446	660	1812	34	5	1366	1327	214
50	0	560	810	1873	34	4	1313	1275	250
39	0	390	574	1885	42	2	1495	1451	184
31	0	284	423	1902	43	2	1618	1573	139
44	0	457	675	1918	36	5	1461	1420	218
36	0	376	536	1949	46	1	1573	1526	160
6	0	22	45	1973	60	8	1951	1883	23
33	0	294	443	2169	65	9	1875	1801	149
32	0	285	434	2222	64	6	1937	1867	149
14	0	98	155	2256	80	4	2158	2074	57
38	0	387	560	2308	71	10	1921	1840	173
35	0	364	518	2423	78	7	2059	1974	154
29	0	263	399	2443	80	17	2180	2083	136
21	0	196	298	2450	85	11	2254	2158	102
3	0	9	16	2533	130	10	2524	2384	7
10	0	57	109	2538	115	15	2481	2351	52
12	0	71	130	2563	103	22	2492	2367	59
48	0	536	783	2585	98	28	2049	1923	247
2	0	2	5	2615	173	9	2613	2431	3
0	0	0	0	2615	0	0	2615	2615	0
